section_id,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
BI0020EK|299|0.0,,18.0,10.0,,,10.0,90.0,76.0,85.0,71.0,65.0,100.0,90.0,44.0,26.0,4.0,38.0,27.0,70.0,16.0,6.0,1.0,1.0,1.0,1.0,1.0,1.0,,
BI0020EK|299|0.5,,10.0,9.0,,,13.0,90.0,50.0,29.0,55.0,29.0,43.0,28.0,51.0,1.0,1.0,20.0,5.0,42.0,2.0,,1.0,1.0,1.0,1.0,1.0,1.0,,
BI0020EK|300|0.0,23.0,44.0,4.0,,,1.0,90.0,48.0,21.0,17.0,11.0,5.0,23.0,17.0,12.0,,23.0,3.0,19.0,2.0,,1.0,1.0,1.0,1.0,1.0,1.0,,
BI0020EL|310|0.5,99.0,100.0,99.0,99.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,88.0,100.0,100.0,100.0,100.0,91.0,100.0,100.0
BI0020EL|311|0.0,,100.0,99.0,99.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
BI0020EL|311|0.5,,100.0,84.0,95.0,100.0,,,,,,,,,,,,,,,,,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
BI0020ER|310|0.5,100.0,100.0,100.0,100.0,100.0,100.0,100.0,99.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,80.0,100.0,100.0,75.0,100.0,100.0,100.0,100.0
BI0020ER|311|0.0,,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
BI0020ER|311|0.5,,92.0,95.0,,99.0,90.0,,,,,,,,,,,,,,,,100.0,100.0,98.0,100.0,100.0,100.0,100.0,100.0
BI0020NK|392|0.0,,100.0,,100.0,,96.0,90.0,100.0,98.0,98.0,100.0,100.0,100.0,99.0,100.0,100.0,99.0,100.0,98.0,91.0,91.0,79.0,90.0,92.0,92.0,97.0,89.0,88.0,88.0
BI0020NK|392|0.5,,100.0,,100.0,,99.0,89.0,100.0,98.0,98.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,91.0,92.0,86.0,93.0,92.0,93.0,100.0,93.0,94.0,95.0
BI0020NK|392|1.0,,100.0,,100.0,,99.0,89.0,100.0,98.0,98.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,91.0,,,,,,,,,
BI0020NK|394|0.0,,99.0,,100.0,,99.0,91.0,100.0,98.0,98.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,92.0,93.0,76.0,95.0,95.0,94.0,100.0,97.0,96.0,97.0
BI0020NK|396|0.0,,100.0,,99.0,,98.0,92.0,99.0,99.0,100.0,,65.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,91.0,92.0,71.0,99.0,73.0,73.0,84.0,83.0,86.0,82.0
BI0020RK|416|1.0,,36.0,,77.0,,100.0,78.0,57.0,75.0,,52.0,69.0,86.0,92.0,33.0,66.0,,48.0,46.0,64.0,,,,,,,,,
BI0027UL|176|0.0,100.0,,,,,,73.0,100.0,100.0,,,,,,,,,52.0,100.0,48.0,,94.0,97.0,100.0,100.0,98.0,100.0,100.0,100.0
BI0027UL|176|0.5,100.0,,,,,,56.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,57.0,28.0,56.0,89.0,56.0,100.0,90.0,98.0,100.0,,,,,,
BI0027UR|176|0.0,100.0,,,92.0,,,73.0,100.0,100.0,92.0,100.0,100.0,100.0,100.0,43.0,43.0,56.0,39.0,48.0,37.0,36.0,99.0,99.0,100.0,99.0,99.0,95.0,97.0,92.0
BI0027UR|176|0.5,100.0,,,100.0,,,100.0,100.0,100.0,,100.0,,,100.0,,,100.0,100.0,,100.0,100.0,99.0,99.0,,,,,,
BI0040HR|364|0.0,,,,,,100.0,,100.0,100.0,,,,,,,78.0,100.0,62.0,78.0,69.0,56.0,61.0,100.0,100.0,100.0,100.0,100.0,100.0,76.0
BI0045GK|294|0.0,48.0,,48.0,,43.0,45.0,21.0,43.0,38.0,43.0,38.0,42.0,34.0,38.0,51.0,38.0,38.0,38.0,43.0,43.0,43.0,37.0,44.0,29.0,15.0,31.0,27.0,,
BI0045JK|280|0.0,,,,,,,,,,,,100.0,100.0,100.0,100.0,95.0,100.0,95.0,100.0,90.0,95.0,80.0,74.0,100.0,,,,,
BI0045JK|280|0.5,,,,,,,,,,,,95.0,78.0,100.0,100.0,63.0,100.0,100.0,78.0,84.0,84.0,79.0,95.0,92.0,87.0,89.0,88.0,87.0,78.0
BS0006RL|416|0.0,,,,,,,,,,,,,,100.0,100.0,100.0,90.0,92.0,84.0,84.0,77.0,63.0,91.0,72.0,44.0,66.0,62.0,,
BS0006RL|416|0.5,,,,,,,,,,,,,,100.0,100.0,100.0,100.0,99.0,100.0,100.0,100.0,91.0,100.0,99.0,64.0,99.0,98.0,,
BS0006RL|416|1.0,,,,,,,,,,,,,,100.0,100.0,100.0,100.0,100.0,97.0,100.0,100.0,100.0,99.0,98.0,64.0,98.0,100.0,,
BS0006RR|416|0.0,,,,,,,,,,,,,,100.0,100.0,100.0,96.0,100.0,91.0,96.0,86.0,42.0,98.0,98.0,74.0,68.0,43.0,,
BS0006RR|416|0.5,,,,,,,,,,,,,,100.0,100.0,100.0,100.0,91.0,100.0,100.0,81.0,38.0,100.0,100.0,90.0,75.0,32.0,,
BS0006RR|416|1.0,,,,,,,,,,,,,,100.0,100.0,100.0,100.0,100.0,100.0,100.0,90.0,39.0,100.0,98.0,97.0,87.0,67.0,,
BS0078EK|238|1.0,99.0,100.0,,71.0,71.0,90.0,58.0,84.0,100.0,100.0,90.0,99.0,90.0,99.0,100.0,100.0,65.0,99.0,95.0,77.0,58.0,97.0,20.0,48.0,86.0,90.0,73.0,,
BS0078EK|238|1.5,53.0,65.0,,95.0,100.0,100.0,95.0,100.0,100.0,100.0,99.0,100.0,97.0,95.0,65.0,70.0,63.0,90.0,90.0,41.0,35.0,79.0,23.0,43.0,19.0,65.0,48.0,,
BS0078EK|240|0.0,59.0,71.0,,100.0,100.0,21.0,99.0,,,,99.0,100.0,95.0,100.0,86.0,90.0,82.0,81.0,95.0,65.0,61.0,100.0,96.0,89.0,56.0,51.0,54.0,,
BS0121HL|270|0.0,,,,,,,,,100.0,33.0,60.0,95.0,33.0,24.0,55.0,13.0,34.0,47.0,40.0,84.0,50.0,76.0,65.0,17.0,28.0,36.0,51.0,,
BS0121HL|270|0.4,,,,,,,,,90.0,57.0,34.0,95.0,48.0,51.0,34.0,26.0,72.0,61.0,50.0,78.0,,,,,,,,,
BS0121HL|270|0.9,,,,,,,,,84.0,78.0,84.0,90.0,53.0,71.0,100.0,34.0,78.0,78.0,90.0,100.0,,,,,,,,,
BS0121HL|270|1.4,,,,,,,,,100.0,75.0,71.0,75.0,49.0,75.0,79.0,40.0,70.0,91.0,91.0,100.0,,,,,,,,,
BS0121HL|272|0.0,,,,,,,,,99.0,80.0,100.0,99.0,95.0,100.0,100.0,86.0,100.0,90.0,86.0,48.0,70.0,61.0,32.0,99.0,63.0,91.0,96.0,,
BS0121HL|272|0.5,,,,,,,,,100.0,85.0,53.0,91.0,59.0,59.0,99.0,82.0,90.0,48.0,88.0,100.0,81.0,58.0,27.0,55.0,1.0,19.0,60.0,,
BS0121HL|272|1.0,,,,,,,,,100.0,69.0,75.0,68.0,64.0,62.0,86.0,69.0,79.0,90.0,75.0,65.0,65.0,57.0,30.0,45.0,33.0,32.0,37.0,,
BS0121HL|272|1.5,,,,,,,,,90.0,69.0,59.0,86.0,47.0,46.0,84.0,53.0,89.0,46.0,22.0,78.0,,,,48.0,13.0,26.0,20.0,,
BS0121HL|274|0.0,,,,,,,,,78.0,84.0,71.0,95.0,53.0,71.0,84.0,71.0,71.0,53.0,78.0,75.0,78.0,52.0,35.0,38.0,26.0,35.0,37.0,,
BS0121HL|274|0.5,,,,,,,,,100.0,100.0,95.0,100.0,65.0,71.0,100.0,78.0,48.0,59.0,78.0,100.0,90.0,41.0,37.0,33.0,22.0,32.0,26.0,,
BS0121HL|274|1.0,,,,,,,,,100.0,100.0,100.0,99.0,95.0,100.0,100.0,100.0,65.0,95.0,99.0,100.0,100.0,84.0,89.0,69.0,62.0,71.0,68.0,,
BS0121HL|274|1.5,,,,,,,,,90.0,73.0,76.0,99.0,57.0,95.0,99.0,95.0,100.0,98.0,100.0,78.0,71.0,70.0,92.0,93.0,91.0,92.0,95.0,,
BS0121HL|276|0.0,,,,,,,,,100.0,96.0,95.0,91.0,58.0,99.0,99.0,37.0,90.0,84.0,90.0,100.0,99.0,52.0,68.0,35.0,34.0,47.0,78.0,,
BS0121HL|276|0.5,,,,,,,,,,95.0,90.0,100.0,83.0,90.0,,71.0,96.0,90.0,84.0,95.0,79.0,82.0,90.0,73.0,46.0,46.0,100.0,,
BS0121HR|270|0.0,,,,,,,,,100.0,82.0,96.0,89.0,74.0,91.0,82.0,70.0,91.0,100.0,71.0,100.0,71.0,97.0,100.0,46.0,45.0,45.0,45.0,,
BS0121HR|270|0.4,,,,,,,,,100.0,100.0,95.0,71.0,84.0,100.0,78.0,48.0,95.0,100.0,90.0,100.0,,,,,,,,,
BS0121HR|270|0.9,,,,,,,,,100.0,100.0,95.0,78.0,100.0,99.0,59.0,43.0,95.0,95.0,100.0,99.0,,,,,,,,,
BS0121HR|270|1.4,,,,,,,,,100.0,100.0,100.0,99.0,100.0,100.0,99.0,100.0,100.0,100.0,100.0,71.0,,,,,,,,,
BS0121HR|272|0.0,,,,,,,,,100.0,99.0,100.0,78.0,71.0,100.0,65.0,78.0,100.0,100.0,100.0,100.0,90.0,86.0,18.0,96.0,47.0,84.0,100.0,,
BS0121HR|272|0.5,,,,,,,,,100.0,100.0,90.0,100.0,90.0,78.0,100.0,19.0,100.0,100.0,90.0,100.0,100.0,82.0,88.0,57.0,6.0,13.0,99.0,,
BS0121HR|272|1.0,,,,,,,,,78.0,80.0,95.0,100.0,42.0,86.0,,22.0,81.0,99.0,95.0,59.0,90.0,76.0,24.0,84.0,44.0,61.0,53.0,,
BS0121HR|272|1.5,,,,,,,,,100.0,95.0,71.0,71.0,96.0,59.0,92.0,1.0,100.0,91.0,65.0,99.0,,,,27.0,9.0,7.0,30.0,,
BS0121HR|274|0.0,,,,,,,,,99.0,99.0,100.0,78.0,90.0,100.0,84.0,100.0,95.0,71.0,71.0,95.0,90.0,82.0,74.0,95.0,95.0,87.0,95.0,,
BS0121HR|274|0.5,,,,,,,,,100.0,99.0,95.0,100.0,95.0,95.0,99.0,90.0,100.0,99.0,100.0,99.0,100.0,83.0,6.0,60.0,48.0,49.0,86.0,,
BS0121HR|274|1.0,,,,,,,,,100.0,100.0,100.0,99.0,71.0,100.0,100.0,99.0,95.0,78.0,100.0,100.0,91.0,92.0,67.0,80.0,58.0,80.0,93.0,,
BS0121HR|274|1.5,,,,,,,,,100.0,100.0,100.0,84.0,,100.0,100.0,100.0,100.0,95.0,100.0,100.0,100.0,98.0,100.0,91.0,91.0,85.0,100.0,,
