section_id,roadbed,begin_marker,begin_disp,district,county,begin_dfo,end_dfo,n_years
BI0020EK|299|0.0,BI0020EK,299,0.0,06 - ODESSA,69 - ECTOR,,,24
BI0020EK|299|0.5,BI0020EK,299,0.5,06 - ODESSA,69 - ECTOR,,,23
BI0020EK|300|0.0,BI0020EK,300,0.0,06 - ODESSA,69 - ECTOR,,,23
BI0020EL|310|0.5,BI0020EL,310,0.5,06 - ODESSA,165 - MIDLAND,14.286,14.748,29
BI0020EL|311|0.0,BI0020EL,311,0.0,06 - ODESSA,165 - MIDLAND,14.748,15.248,28
BI0020EL|311|0.5,BI0020EL,311,0.5,06 - ODESSA,165 - MIDLAND,15.248,15.743,12
BI0020ER|310|0.5,BI0020ER,310,0.5,06 - ODESSA,165 - MIDLAND,14.286,14.748,29
BI0020ER|311|0.0,BI0020ER,311,0.0,06 - ODESSA,165 - MIDLAND,14.748,15.248,28
BI0020ER|311|0.5,BI0020ER,311,0.5,06 - ODESSA,165 - MIDLAND,15.248,15.743,12
BI0020KK|358|0.0,BI0020KK,358,0.0,08 - ABILENE,168 - MITCHELL,0.112,0.612,24
BI0020KK|358|0.5,BI0020KK,358,0.5,08 - ABILENE,168 - MITCHELL,0.612,1.112,24
BI0020KK|358|1.0,BI0020KK,358,1.0,08 - ABILENE,168 - MITCHELL,1.112,1.612,24
BI0020NK|392|0.0,BI0020NK,392,0.0,08 - ABILENE,221 - TAYLOR,0.13,0.63,26
BI0020NK|392|0.5,BI0020NK,392,0.5,08 - ABILENE,221 - TAYLOR,0.63,1.13,26
BI0020NK|392|1.0,BI0020NK,392,1.0,08 - ABILENE,221 - TAYLOR,1.13,1.374,17
BI0020NK|394|0.0,BI0020NK,394,0.0,08 - ABILENE,221 - TAYLOR,1.374,1.885,26
BI0020NK|396|0.0,BI0020NK,396,0.0,08 - ABILENE,221 - TAYLOR,1.885,2.076,25
BI0020RK|416|1.0,BI0020RK,416,1.0,08 - ABILENE,221 - TAYLOR,3.209,3.409,15
BI0027UL|0|0.5,BI0027UL,0,0.5,05 - LUBBOCK,96 - HALE,1.28,1.736,12
BI0027UL|176|0.0,BI0027UL,176,0.0,05 - LUBBOCK,96 - HALE,8.294,8.794,15
BI0027UL|176|0.5,BI0027UL,176,0.5,05 - LUBBOCK,96 - HALE,8.794,9.282,18
BI0027UR|0|0.0,BI0027UR,0,0.0,05 - LUBBOCK,96 - HALE,0.78,1.28,13
BI0027UR|176|0.0,BI0027UR,176,0.0,05 - LUBBOCK,96 - HALE,8.294,8.794,25
BI0027UR|176|0.5,BI0027UR,176,0.5,05 - LUBBOCK,96 - HALE,8.794,9.282,13
BI0040HR|0|0.0,BI0040HR,0,0.0,04 - AMARILLO,91 - GRAY,0.19,0.313,14
BI0040HR|364|0.0,BI0040HR,364,0.0,04 - AMARILLO,91 - GRAY,0.313,0.813,17
