section_id,roadbed,begin_marker,begin_disp,district,county,pavtype,begin_dfo,end_dfo,n_years,lon,lat
BI0020EK|299|0.0,BI0020EK,299,0.0,06 - ODESSA,69 - ECTOR,J - JOINTED CONCRETE PAVEMENT (JCP),3.166,3.666,24,-102.381387,31.838637
BI0020EK|299|0.5,BI0020EK,299,0.5,06 - ODESSA,69 - ECTOR,J - JOINTED CONCRETE PAVEMENT (JCP),3.666,4.197,23,-102.373625,31.842655
BI0020EK|300|0.0,BI0020EK,300,0.0,06 - ODESSA,69 - ECTOR,J - JOINTED CONCRETE PAVEMENT (JCP),4.197,4.697,23,-102.36664,31.846257
BI0020EL|310|0.5,BI0020EL,310,0.5,06 - ODESSA,165 - MIDLAND,C - CONTINUOUSLY REINFORCED CONCRETE PAVEMENT (CRCP),14.286,14.786,29,-102.218986,31.92153
BI0020EL|311|0.0,BI0020EL,311,0.0,06 - ODESSA,165 - MIDLAND,C - CONTINUOUSLY REINFORCED CONCRETE PAVEMENT (CRCP),14.749,15.249,28,-102.213225,31.924412
BI0020EL|311|0.5,BI0020EL,311,0.5,06 - ODESSA,165 - MIDLAND,C - CONTINUOUSLY REINFORCED CONCRETE PAVEMENT (CRCP),15.249,15.744,12,-102.20598,31.928095
BI0020ER|310|0.5,BI0020ER,310,0.5,06 - ODESSA,165 - MIDLAND,C - CONTINUOUSLY REINFORCED CONCRETE PAVEMENT (CRCP),14.286,14.786,29,-102.218685,31.921524
BI0020ER|311|0.0,BI0020ER,311,0.0,06 - ODESSA,165 - MIDLAND,C - CONTINUOUSLY REINFORCED CONCRETE PAVEMENT (CRCP),14.747,15.247,28,-102.213974,31.923881
BI0020ER|311|0.5,BI0020ER,311,0.5,06 - ODESSA,165 - MIDLAND,C - CONTINUOUSLY REINFORCED CONCRETE PAVEMENT (CRCP),15.247,15.743,12,-102.206087,31.927878
BI0020NK|392|0.0,BI0020NK,392,0.0,08 - ABILENE,221 - TAYLOR,,0.129,0.629,26,-100.138703,32.492403
BI0020NK|392|0.5,BI0020NK,392,0.5,08 - ABILENE,221 - TAYLOR,,0.629,1.129,26,-100.129504,32.489965
BI0020NK|392|1.0,BI0020NK,392,1.0,08 - ABILENE,221 - TAYLOR,,1.129,1.375,17,-100.122725,32.488574
BI0020NK|394|0.0,BI0020NK,394,0.0,08 - ABILENE,221 - TAYLOR,,1.375,1.878,26,-100.11592,32.487168
BI0020NK|396|0.0,BI0020NK,396,0.0,08 - ABILENE,221 - TAYLOR,,1.878,2.069,25,-100.111421,32.486869
BI0020RK|416|1.0,BI0020RK,416,1.0,08 - ABILENE,221 - TAYLOR,,3.196,3.396,15,-99.729551,32.448308
BI0027UL|176|0.0,BI0027UL,176,0.0,05 - LUBBOCK,96 - HALE,C - CONTINUOUSLY REINFORCED CONCRETE PAVEMENT (CRCP),8.284,8.784,15,-101.719863,34.205904
BI0027UL|176|0.5,BI0027UL,176,0.5,05 - LUBBOCK,96 - HALE,C - CONTINUOUSLY REINFORCED CONCRETE PAVEMENT (CRCP),8.784,9.284,18,-101.70803,34.227866
BI0027UR|176|0.0,BI0027UR,176,0.0,05 - LUBBOCK,96 - HALE,C - CONTINUOUSLY REINFORCED CONCRETE PAVEMENT (CRCP),8.272,8.772,25,-101.729269,34.179737
BI0027UR|176|0.5,BI0027UR,176,0.5,05 - LUBBOCK,96 - HALE,C - CONTINUOUSLY REINFORCED CONCRETE PAVEMENT (CRCP),8.772,9.272,13,-101.709446,34.233222
BI0040HR|364|0.0,BI0040HR,364,0.0,04 - AMARILLO,91 - GRAY,C - CONTINUOUSLY REINFORCED CONCRETE PAVEMENT (CRCP),0.329,0.829,17,-100.63168,35.228827
BI0045GK|294|0.0,BI0045GK,294,0.0,18 - DALLAS,71 - ELLIS,J - JOINTED CONCRETE PAVEMENT (JCP),0.195,0.695,25,-96.633016,32.354722
BI0045JK|280|0.0,BI0045JK,280,0.0,18 - DALLAS,57 - DALLAS,C - CONTINUOUSLY REINFORCED CONCRETE PAVEMENT (CRCP),0.118,0.618,13,-96.665743,32.557271
BI0045JK|280|0.5,BI0045JK,280,0.5,18 - DALLAS,57 - DALLAS,C - CONTINUOUSLY REINFORCED CONCRETE PAVEMENT (CRCP),0.618,1.018,18,-96.665598,32.54927
BS0006RL|416|0.0,BS0006RL,416,0.0,17 - BRYAN,21 - BRAZOS,J - JOINTED CONCRETE PAVEMENT (JCP),10.091,10.591,14,-96.315351,30.612372
BS0006RL|416|0.5,BS0006RL,416,0.5,17 - BRYAN,21 - BRAZOS,J - JOINTED CONCRETE PAVEMENT (JCP),10.591,11.091,14,-96.308281,30.606755
BS0006RL|416|1.0,BS0006RL,416,1.0,17 - BRYAN,21 - BRAZOS,J - JOINTED CONCRETE PAVEMENT (JCP),11.091,11.491,14,-96.302608,30.602133
